recorded_hour,wind_sin,wind_cos
1770163200,3.88,-3.27
1770166800,1.22,-0.97
1770170400,0.58,0.15
1770174000,0.0,0.0
1770177600,0.0,0.0
1770181200,0.15,0.03
1770184800,0.0,0.0
1770188400,0.0,0.0
1770192000,0.52,-0.23
1770195600,5.59,-3.16
1770199200,5.53,-3.46
1770202800,4.75,-2.68
1770206400,7.22,-4.79
1770210000,5.32,-1.97
1770213600,4.52,-0.24
1770217200,3.28,1.03
1770220800,4.14,-1.69
1770224400,0.33,-0.24
1770228000,0.6,-0.07
1770231600,0.04,-0.25
1770235200,0.82,0.2
1770238800,3.07,-0.98
1770242400,0.53,-0.2
1770246000,0.0,0.0
1770249600,0.0,0.0
1770253200,0.91,-0.66
1770256800,1.43,-0.06
1770260400,6.28,-2.97
1770264000,7.9,-4.11
1770267600,5.86,-2.87
1770271200,6.96,-2.72
1770274800,5.53,-4.5
1770278400,8.98,-8.14
1770282000,7.79,-6.56
1770285600,9.14,-6.43
1770289200,10.33,-6.08
1770292800,7.56,-5.02
1770296400,6.72,-4.24
1770300000,6.64,-5.01
1770303600,6.12,-3.14
1770307200,3.55,-2.55
1770310800,2.25,-1.56
1770314400,1.03,-0.56
1770318000,0.3,-0.1
1770321600,0.0,0.0
1770325200,1.28,-1.12
1770328800,4.65,-2.83
1770332400,3.33,-2.58
1770336000,5.08,-3.22
1770339600,6.38,-2.96
1770343200,5.75,-2.97
1770346800,6.11,-2.53
1770350400,6.27,-2.64
1770354000,7.16,-4.75
1770357600,7.99,-5.69
1770361200,7.1,-4.45
1770364800,6.33,-4.0
1770368400,5.29,-3.77
1770372000,4.22,-2.83
1770375600,2.32,-0.4
1770379200,0.79,-0.39
1770382800,0.79,-0.89
1770386400,-1.73,-2.98
1770390000,-1.99,-2.93
1770393600,-0.4,-1.81
1770397200,0.86,-1.82
1770400800,0.71,-1.87
1770404400,0.65,0.19
1770408000,0.0,0.0
1770411600,0.0,0.0
1770415200,-0.27,-0.37
1770418800,-0.66,-1.18
1770422400,-0.13,-1.68
1770426000,1.06,-0.98
1770429600,1.36,-0.71
1770433200,0.47,-0.11
1770436800,1.35,-0.77
1770440400,1.98,-1.28
1770444000,3.14,-1.26
1770447600,3.28,-1.86
1770451200,5.25,-5.15
1770454800,3.47,-5.11
1770458400,5.16,-6.96
1770462000,3.67,-6.79
1770465600,3.46,-7.91
1770469200,0.85,-7.64
1770472800,0.56,-6.62
1770476400,2.17,-4.04
1770480000,1.51,-2.32
1770483600,4.06,-3.03
1770487200,2.44,-1.35
1770490800,0.72,-0.15
