recorded_hour,humidity,pressure,temperature,wind_sin,wind_cos,hour_sin,hour_cos,day_sin,day_cos,pressure_minus_3h,pressure_trend_3h,forecast_temperature,forecast_humidity,forecast_pressure,forecast_wind_sin,forecast_wind_cos
1765288800,84.666666666667,1006.3333333333,12.116666666667,3.6733723257042,-5.9870013884129,-0.70710678118655,-0.70710678118655,-0.37347653741307,0.92763962614905,1007.3666666667,-1.0333333333335,12,84,1012.7,0.63762362593269,-6.0665835617465
1765292400,85.333333333333,1006.3,11.566666666667,5.1863017054995,-6.1531630325208,-0.86602540378444,-0.5,-0.37347653741307,0.92763962614905,1007.0166666667,-0.7166666666667,11.6,87,1012.6,1.7365153416471,-6.0559486844114
1765296000,85.833333333333,1006.5666666667,11.1,3.4745862915099,-5.4665264990916,-0.96592582628907,-0.25881904510252,-0.37347653741307,0.92763962614905,1006.6166666667,-0.050000000000182,11.1,86,1012.8,0.54036560503548,-6.1764071281688
1765299600,86.333333333333,1006.4833333333,10.7,4.4680923662045,-4.7924577311826,-1,-1.836970198721E-16,-0.37347653741307,0.92763962614905,1006.3333333333,0.15000000000032,10.6,89,1013.2,0.7434029947714,-6.0545315250121
1765303200,84.166666666667,1006.8333333333,11.216666666667,3.6070106647816,-5.3455874686316,-0.96592582628907,0.25881904510252,-0.37347653741307,0.92763962614905,1006.3,0.53333333333308,10.5,88,1012.9,8.327598234202E-16,-6.8
1765306800,83.5,1006.9833333333,11.35,2.0664669846803,-1.0369597751672,-0.86602540378444,0.5,-0.37347653741307,0.92763962614905,1006.5666666667,0.41666666666663,10.9,87,1013.3,-0.37681888494919,-7.1901326502329
1765310400,83.166666666667,1007.2,11.533333333333,1.817199471152,-3.0487097836515,-0.70710678118655,0.70710678118655,-0.37347653741307,0.92763962614905,1006.4833333333,0.71666666666647,10.8,88,1013.4,-0.34541731120343,-6.5909549293802
1765314000,84.833333333333,1007.5333333333,11.433333333333,1.9818199998764,-3.77055866087,-0.5,0.86602540378444,-0.37347653741307,0.92763962614905,1006.8333333333,0.70000000000016,10.7,91,1013.7,-0.21637687955551,-6.1962231275184
1765317600,90,1007.9833333333,11.016666666667,0.64854998031216,-3.0786477049694,-0.25881904510252,0.96592582628907,-0.37347653741307,0.92763962614905,1006.9833333333,1,10.6,93,1013.9,-0.92033534163473,-5.2194810909647
1765321200,95,1008.45,10.5,0.011105404992472,-3.6840551789927,0,1,-0.35746441556486,0.93392675922948,1007.2,1.25,10.8,92,1014.2,-1.9004160806978,-6.2159809137597
1765324800,96,1008.7833333333,10.65,-0.12967831153306,-1.7393594830669,0.25881904510252,0.96592582628907,-0.35746441556486,0.93392675922948,1007.5333333333,1.25,10.3,96,1015.1,-1.3497063260632,-5.8462203887114
1765328400,95.5,1009.0666666667,10.8,0.17163150661812,-1.7253830662807,0.5,0.86602540378444,-0.35746441556486,0.93392675922948,1007.9833333333,1.0833333333334,10.4,98,1015.4,-0.94479442824423,-4.092354272098
1765332000,96,1009.5666666667,10.9,0.74575841339934,-1.0165226336201,0.70710678118655,0.70710678118655,-0.35746441556486,0.93392675922948,1008.45,1.1166666666667,10.6,98,1016,-0.3573385452654,-4.0843982621762
1765335600,96.333333333333,1009.8333333333,10.833333333333,0.86458869600621,-2.8048793798993,0.86602540378444,0.5,-0.35746441556486,0.93392675922948,1008.7833333333,1.0500000000001,10.5,98,1016.6,-0.17270865560171,-3.2954774646901
1765339200,96,1010.35,10.95,-0.87475845150356,-2.033788516263,0.96592582628907,0.25881904510252,-0.35746441556486,0.93392675922948,1009.0666666667,1.2833333333334,10.4,99,1016.6,0.17270865560171,-3.2954774646901
1765342800,96,1010.7666666667,11,0.28104396553031,-1.1204060275541,1,6.1232339957368E-17,-0.35746441556486,0.93392675922948,1009.5666666667,1.1999999999999,10.4,100,1017,-1.1721933854678,-2.7615145603573
